,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
47,6.0,15.0,21.0,13.0,2.0,7.0,6.0,20.0,8.0,8.0,15.0,18.0,15.0,8.0,13.0,14.0,9.0,2.0,13.0,2.0,28.0,4.0,16.0,3.0,12.0,7.0,17.0,15.0,4.0,23.0,13.0,14.0,8.0,11.0,38.0,11.0,20.0,9.0,3.0,18.0,19.0,20.0,12.0,11.0,0.0
48,4.0,6.0,6.0,4.0,3.0,3.0,6.0,7.0,3.0,7.0,5.0,6.0,6.0,5.0,10.0,8.0,0.0,2.0,16.0,2.0,11.0,2.0,9.0,2.0,9.0,5.0,4.0,6.0,4.0,6.0,3.0,10.0,13.0,3.0,9.0,5.0,5.0,4.0,6.0,12.0,17.0,1.0,4.0,6.0,0.0
49,2.0,4.0,12.0,6.0,5.0,1.0,4.0,13.0,4.0,9.0,5.0,6.0,0.0,1.0,5.0,6.0,0.0,3.0,12.0,1.0,10.0,1.0,7.0,5.0,6.0,2.0,4.0,7.0,0.0,2.0,0.0,6.0,10.0,5.0,12.0,5.0,4.0,2.0,5.0,12.0,23.0,4.0,3.0,4.0,0.0
50,4.0,4.0,8.0,7.0,5.0,1.0,9.0,14.0,7.0,10.0,2.0,9.0,2.0,6.0,3.0,7.0,0.0,3.0,11.0,1.0,11.0,1.0,9.0,1.0,10.0,2.0,6.0,3.0,0.0,4.0,3.0,5.0,6.0,4.0,10.0,4.0,5.0,4.0,4.0,10.0,6.0,4.0,5.0,7.0,0.0
51,2.0,3.0,13.0,4.0,3.0,1.0,5.0,12.0,5.0,8.0,7.0,6.0,4.0,4.0,4.0,7.0,0.0,3.0,12.0,3.0,10.0,2.0,7.0,2.0,10.0,2.0,10.0,5.0,1.0,5.0,2.0,9.0,9.0,3.0,16.0,2.0,5.0,2.0,3.0,10.0,6.0,4.0,3.0,7.0,0.0
52,21.0,8.0,8.0,14.0,5.0,10.0,12.0,24.0,15.0,8.0,15.0,14.0,13.0,17.0,20.0,13.0,15.0,23.0,20.0,13.0,14.0,9.0,12.0,13.0,14.0,13.0,17.0,17.0,21.0,19.0,6.0,6.0,12.0,7.0,19.0,8.0,20.0,17.0,17.0,10.0,15.0,18.0,6.0,5.0,0.0
53,10.0,8.0,9.0,15.0,5.0,11.0,10.0,18.0,13.0,14.0,17.0,13.0,15.0,21.0,16.0,13.0,14.0,15.0,20.0,15.0,10.0,10.0,8.0,13.0,19.0,7.0,23.0,14.0,21.0,21.0,13.0,13.0,9.0,7.0,12.0,11.0,13.0,17.0,19.0,13.0,12.0,16.0,6.0,6.0,0.0
54,20.0,12.0,7.0,12.0,10.0,15.0,15.0,19.0,13.0,7.0,18.0,12.0,14.0,18.0,11.0,11.0,12.0,21.0,28.0,9.0,15.0,8.0,6.0,11.0,15.0,10.0,15.0,8.0,14.0,23.0,17.0,13.0,8.0,10.0,15.0,6.0,10.0,25.0,15.0,11.0,14.0,9.0,6.0,3.0,0.0
55,20.0,16.0,8.0,13.0,14.0,11.0,14.0,26.0,16.0,12.0,15.0,15.0,17.0,17.0,13.0,12.0,15.0,19.0,19.0,14.0,15.0,10.0,13.0,17.0,19.0,10.0,24.0,8.0,21.0,22.0,7.0,6.0,9.0,10.0,14.0,5.0,20.0,20.0,29.0,6.0,10.0,21.0,7.0,5.0,0.0
56,18.0,12.0,6.0,31.0,31.0,16.0,18.0,32.0,18.0,22.0,24.0,18.0,20.0,31.0,22.0,18.0,23.0,35.0,12.0,36.0,21.0,49.0,26.0,29.0,34.0,20.0,33.0,26.0,40.0,28.0,32.0,21.0,17.0,16.0,15.0,12.0,23.0,41.0,29.0,24.0,23.0,27.0,18.0,13.0,0.0
