,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
27,8.0,5.0,9.0,5.0,3.0,10.0,9.0,11.0,5.0,10.0,8.0,0.0,9.0,14.0,2.0,5.0,14.0,15.0,4.0,7.0,9.0,6.0,17.0,8.0,8.0,10.0,13.0,4.0,7.0,5.0,8.0,4.0,7.0,12.0,12.0,10.0,7.0,8.0,10.0,3.0,12.0,5.0,3.0,17.0,0.0
28,27.0,12.0,8.0,14.0,12.0,31.0,17.0,61.0,9.0,17.0,11.0,25.0,10.0,18.0,33.0,20.0,24.0,17.0,29.0,25.0,22.0,53.0,28.0,8.0,21.0,12.0,12.0,33.0,33.0,28.0,13.0,31.0,17.0,21.0,20.0,5.0,25.0,27.0,10.0,39.0,21.0,15.0,21.0,12.0,0.0
29,10.0,7.0,10.0,3.0,3.0,6.0,3.0,8.0,5.0,10.0,6.0,1.0,8.0,10.0,7.0,6.0,7.0,8.0,6.0,6.0,8.0,8.0,23.0,10.0,10.0,6.0,9.0,7.0,3.0,8.0,4.0,6.0,8.0,6.0,3.0,7.0,31.0,8.0,6.0,2.0,11.0,5.0,5.0,10.0,0.0
30,7.0,11.0,12.0,13.0,11.0,15.0,10.0,40.0,14.0,20.0,18.0,16.0,20.0,16.0,19.0,13.0,25.0,10.0,12.0,18.0,13.0,25.0,6.0,6.0,17.0,15.0,13.0,26.0,22.0,18.0,11.0,19.0,8.0,20.0,9.0,17.0,9.0,13.0,4.0,12.0,10.0,3.0,4.0,7.0,0.0
31,3.0,6.0,5.0,24.0,8.0,30.0,6.0,19.0,17.0,14.0,18.0,32.0,9.0,22.0,11.0,16.0,27.0,10.0,13.0,14.0,13.0,24.0,2.0,7.0,10.0,9.0,6.0,17.0,10.0,23.0,8.0,19.0,1.0,35.0,11.0,5.0,3.0,9.0,1.0,11.0,15.0,2.0,3.0,7.0,0.0
32,10.0,18.0,8.0,9.0,12.0,13.0,9.0,4.0,9.0,4.0,9.0,7.0,14.0,15.0,10.0,18.0,18.0,13.0,8.0,11.0,13.0,9.0,11.0,4.0,10.0,13.0,11.0,7.0,22.0,8.0,13.0,4.0,10.0,15.0,17.0,12.0,27.0,5.0,6.0,8.0,14.0,7.0,4.0,14.0,0.0
33,8.0,12.0,11.0,9.0,5.0,8.0,9.0,5.0,11.0,5.0,15.0,6.0,13.0,11.0,11.0,9.0,13.0,13.0,10.0,4.0,9.0,25.0,14.0,6.0,13.0,11.0,13.0,10.0,11.0,12.0,10.0,13.0,9.0,13.0,9.0,6.0,25.0,9.0,9.0,4.0,10.0,6.0,11.0,16.0,0.0
34,6.0,1.0,5.0,1.0,3.0,5.0,6.0,5.0,5.0,6.0,4.0,3.0,2.0,3.0,3.0,2.0,10.0,3.0,2.0,2.0,6.0,11.0,21.0,2.0,3.0,5.0,3.0,3.0,18.0,5.0,1.0,1.0,5.0,8.0,2.0,2.0,20.0,2.0,4.0,3.0,3.0,4.0,3.0,0.0,0.0
35,11.0,6.0,12.0,7.0,26.0,13.0,6.0,10.0,25.0,7.0,2.0,14.0,12.0,21.0,8.0,7.0,7.0,17.0,19.0,4.0,12.0,4.0,13.0,11.0,14.0,11.0,10.0,4.0,9.0,12.0,5.0,15.0,11.0,7.0,12.0,5.0,12.0,11.0,8.0,11.0,11.0,3.0,8.0,14.0,0.0
36,16.0,11.0,13.0,23.0,43.0,37.0,15.0,26.0,57.0,31.0,7.0,52.0,21.0,21.0,30.0,21.0,39.0,20.0,21.0,26.0,27.0,57.0,8.0,14.0,25.0,14.0,7.0,26.0,12.0,40.0,14.0,50.0,14.0,28.0,22.0,3.0,13.0,18.0,13.0,43.0,24.0,9.0,19.0,16.0,0.0
